,Q1,NoFix_1,Fix_1,Q2,No_Fix2,Fix_2,Q3,No_Fix3,Fix_3,Ans,,,,,,,,
1,兵,察,法,艦,場,艇,軍,義,医,隊,1,90,62,6.66,-3.97,6.68,-4.23,Q1
2,確,合,証,受,器,検,迷,塩,宮,信,2,81,55,10.59,-6.89,17.6,-8.05,Q1
11,余,学,暇,漂,板,流,明,音,日,白,11,75,67,8.5,-5.53,10.99,-5.74,Q1
12,工,済,具,表,界,彰,仮,国,病,面,12,75,29,12.88,-12.05,18.03,-10.93,Q2
21,引,芸,用,辞,伸,令,中,董,華,退,21,70,67,10.98,-7.88,17.66,-8.84,Q2
22,避,約,妊,非,感,常,女,遇,神,難,22,67,50,13.37,-10.17,16.61,-12.22,Q2
31,道,汁,草,快,愛,速,歓,釈,迎,楽,31,62,35,10.95,-8.03,15.36,-7.6,Q2
32,契,存,約,好,願,感,待,雨,遇,機,32,62,45,7.67,-4.52,16.68,-14.47,Q2
41,警,法,察,広,艇,場,忠,医,義,告,41,50,43,14.18,-13.48,22.94,-12.26,Q3
42,安,満,易,勘,分,当,協,料,和,定,42,48,40,8.55,-6.11,13.41,-8.01,Q3
51,充,集,満,節,位,分,送,処,料,電,51,38,25,9.81,-4.7,19.61,-13.35,Q3
52,収,判,益,装,体,置,花,筋,火,束,52,35,10,12.01,-8.96,26.05,-0.84,Q3
61,青,験,春,虚,先,栄,真,月,顔,空,61,30,14,7.3,-2.85,12.57,-4.77,Q4
62,失,督,恋,画,議,質,無,索,礼,策,62,29,10,22.91,-10.13,19.7,-8.08,Q4
71,極,夕,度,最,帯,近,性,作,別,悪,71,19,5,21.38,-8.25,26.5,(-),Q4
72,暗,没,雲,演,増,歌,逆,乏,襲,算,72,10,0,18.22,-14.83,NaN,(-),Q4
