Participant #,Q_No,Fix or NoFix,AnswerKey,Answer,Aha,Solving_Time,Blur_Time,EnterAns_Time,FinishAns_Time,Index
2021-07-01T03:13:45 b3e536-25f-013-261b-27c888f6c7bc,002,Fix,true,信,no,9.899,,,,
2021-07-01T03:13:45 b3e536-25f-013-261b-27c888f6c7bc,001,NoFix,false,,no,0.83,,,,
2021-07-01T03:13:45 b3e536-25f-013-261b-27c888f6c7bc,011,Fix,true,白,no,1.666,,,,
2021-07-01T03:13:45 b3e536-25f-013-261b-27c888f6c7bc,012,NoFix,true,面,no,1.758,,,,
2021-07-01T03:13:45 b3e536-25f-013-261b-27c888f6c7bc,022,Fix,true,難,no,1.257,,,,
2021-07-01T03:13:45 b3e536-25f-013-261b-27c888f6c7bc,021,NoFix,false,隊,no,2.899,,,,
2021-07-01T03:13:45 b3e536-25f-013-261b-27c888f6c7bc,031,Fix,true,楽,no,1.292,,,,
2021-07-01T03:13:45 b3e536-25f-013-261b-27c888f6c7bc,032,NoFix,false,約,no,1.286,,,,
2021-07-01T03:13:45 b3e536-25f-013-261b-27c888f6c7bc,042,Fix,true,定,yes,24.168,,,,
2021-07-01T03:13:45 b3e536-25f-013-261b-27c888f6c7bc,041,NoFix,false,,no,0.83,,,,
2021-07-01T03:13:45 b3e536-25f-013-261b-27c888f6c7bc,052,Fix,false,葉,no,1.897,,,,
2021-07-01T03:13:45 b3e536-25f-013-261b-27c888f6c7bc,051,NoFix,false,,no,1.219,,,,
2021-07-01T03:13:45 b3e536-25f-013-261b-27c888f6c7bc,062,Fix,false,練,no,2.103,,,,
2021-07-01T03:13:45 b3e536-25f-013-261b-27c888f6c7bc,061,NoFix,false,,no,1.276,,,,
2021-07-01T03:13:45 b3e536-25f-013-261b-27c888f6c7bc,072,Fix,false,一,no,4.166,,,,
2021-07-01T03:13:45 b3e536-25f-013-261b-27c888f6c7bc,071,NoFix,true,悪,no,2.278,,,,
2021-07-01T04:47:06 21a2df6-c6bc-87c6-657-dcbd78245fce,001,Fix,false,,no,0.912,,,,
2021-07-01T04:47:06 21a2df6-c6bc-87c6-657-dcbd78245fce,002,NoFix,false,,no,0.663,,,,
2021-07-01T04:47:06 21a2df6-c6bc-87c6-657-dcbd78245fce,011,Fix,false,,no,0.789,,,,
2021-07-01T04:47:06 21a2df6-c6bc-87c6-657-dcbd78245fce,012,NoFix,false,,no,1.202,,,,
